#fixingDate,fixingId,fixingValue
2015-11-10,USD-LIBOR-6M,0.0059175000
2015-11-11,USD-LIBOR-6M,0.0059500000
2015-11-12,USD-LIBOR-6M,0.0060050000
2015-11-13,USD-LIBOR-6M,0.0060375000
2015-11-16,USD-LIBOR-6M,0.0060275000
2015-11-17,USD-LIBOR-6M,0.0060175000
2015-11-18,USD-LIBOR-6M,0.0060600000
2015-11-19,USD-LIBOR-6M,0.0061175000
2015-11-20,USD-LIBOR-6M,0.0061865000
2015-11-23,USD-LIBOR-6M,0.0063315000
2015-11-24,USD-LIBOR-6M,0.0064075000
2015-11-25,USD-LIBOR-6M,0.0064865000
2015-11-26,USD-LIBOR-6M,0.0065490000
2015-11-27,USD-LIBOR-6M,0.0065390000
2015-11-30,USD-LIBOR-6M,0.0065990000
2015-12-01,USD-LIBOR-6M,0.0066340000
2015-12-02,USD-LIBOR-6M,0.0066945000
2015-12-03,USD-LIBOR-6M,0.0068465000
2015-12-04,USD-LIBOR-6M,0.0069240000
2015-12-07,USD-LIBOR-6M,0.0071215000
2015-12-08,USD-LIBOR-6M,0.0072115000
2015-12-09,USD-LIBOR-6M,0.0072965000
2015-12-10,USD-LIBOR-6M,0.0073590000
2015-12-11,USD-LIBOR-6M,0.0074650000
2015-12-14,USD-LIBOR-6M,0.0074850000
2015-12-15,USD-LIBOR-6M,0.0075500000
2015-12-16,USD-LIBOR-6M,0.0076990000
2015-12-17,USD-LIBOR-6M,0.0079500000
2015-12-18,USD-LIBOR-6M,0.0080700000
2015-12-21,USD-LIBOR-6M,0.0081150000
2015-12-22,USD-LIBOR-6M,0.0081950000
2015-12-23,USD-LIBOR-6M,0.0082750000
2015-12-24,USD-LIBOR-6M,0.0082730000
2015-12-29,USD-LIBOR-6M,0.0083340000
2015-12-30,USD-LIBOR-6M,0.0084440000
2015-12-31,USD-LIBOR-6M,0.0084615000
2016-01-04,USD-LIBOR-6M,0.0084225000
2016-01-05,USD-LIBOR-6M,0.0085120000
2016-01-06,USD-LIBOR-6M,0.0085130000
2016-01-07,USD-LIBOR-6M,0.0084480000
2016-01-08,USD-LIBOR-6M,0.0085080000
2016-01-11,USD-LIBOR-6M,0.0085130000
2016-01-12,USD-LIBOR-6M,0.0085480000
2016-01-13,USD-LIBOR-6M,0.0085970000
2016-01-14,USD-LIBOR-6M,0.0085730000
2016-01-15,USD-LIBOR-6M,0.0084905000
2016-01-18,USD-LIBOR-6M,0.0085325000
2016-01-19,USD-LIBOR-6M,0.0085775000
2016-01-20,USD-LIBOR-6M,0.0085325000
2016-01-21,USD-LIBOR-6M,0.0085775000
2016-01-22,USD-LIBOR-6M,0.0086500000
2016-01-25,USD-LIBOR-6M,0.0086570000
2016-01-26,USD-LIBOR-6M,0.0086425000
2016-01-27,USD-LIBOR-6M,0.0086500000
2016-01-28,USD-LIBOR-6M,0.0086575000
2016-01-29,USD-LIBOR-6M,0.0086025000
2016-02-01,USD-LIBOR-6M,0.0086500000
2016-02-02,USD-LIBOR-6M,0.0086485000
2016-02-03,USD-LIBOR-6M,0.0086265000
2016-02-04,USD-LIBOR-6M,0.0086490000
